Activity Id,Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),GPX File,Average Pace (seconds),Day of Week,Distance (km),Time Since Last Run,Rolling Average Pace,Rolling Average Distance
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.186641158060394,25:52:00,12:01,5.208061500561695,318.0660776067971,112.00822029487728,156.68371517891364,2023-07-27-202935.gpx,720.923201332885,3,3.5190490813129145,0,720.8991402594623,3.4040447993728393
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.0333342570803064,25:52:00,12:01,5.111619726433839,317.8438327457568,111.89671231200124,156.47312886868414,2023-07-27-202935.gpx,721.1473489082625,3,3.27232615328962,0,720.9163724638296,3.4155170551482854
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.0654106424366754,25:52:00,12:01,4.848632619460246,318.0257107692732,111.97698465710684,156.60660498926913,2023-07-27-202935.gpx,720.9714378546038,3,3.323947963299039,0,720.9548529044973,3.3933681746945035
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.2263814041629395,25:52:00,12:01,5.142175464183016,318.0946901320008,111.91558848633603,156.58018671906254,2023-07-27-202935.gpx,721.1210648879803,3,3.583004648975585,0,720.9661371559534,3.433517048801267
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.0442918039004,25:52:00,12:01,4.621493656230658,317.95374230085,111.95594532270376,156.6405248666393,2023-07-27-202935.gpx,721.169432883767,3,3.2899605716890696,0,721.0373521490476,3.4678098892220426
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.3313904786971005,25:52:00,12:01,5.246731254440109,318.0879330090408,111.96907383789676,156.7155689402355,2023-07-27-202935.gpx,720.8893656379391,3,3.7519999529863917,0,721.0664971734998,3.3976576837132457
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.1008184751553167,25:52:00,12:01,5.278363882056958,318.22310620981,112.15525782342668,156.77462589188536,2023-07-27-202935.gpx,721.0268640716771,3,3.3809312048064575,0,721.0597300345105,3.444247858047941
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.246285108498156,25:52:00,12:01,4.9542159581761975,318.02725089113005,112.04632659932987,156.68530022118696,2023-07-27-202935.gpx,720.9623874815245,3,3.6150364765104226,0,721.0356330671934,3.465968868351309
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,1.925863067064962,25:52:00,12:01,4.8785166947249925,318.0036787436174,111.9611503301628,156.5602619369986,2023-07-27-202935.gpx,721.1249764605332,3,3.0993684683503258,0,721.0338229925776,3.524186570993585
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.150082836905134,25:52:00,12:01,5.062410841018519,317.8803610955951,111.96605977629586,156.74136688874628,2023-07-27-202935.gpx,720.9122710958277,3,3.4602143127449083,0,721.0346053070882,3.4274593348685336
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.124048635046793,25:52:00,12:01,5.065369284155027,318.0349617120883,112.00939940878796,156.4715703549448,2023-07-27-202935.gpx,721.0334158265406,3,3.418316430326206,0,720.9831729495004,3.461510083079701
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.1885317242423583,25:52:00,12:01,5.004183396081292,317.9878171386381,111.91701983430248,156.4729233416186,2023-07-27-202935.gpx,721.0463030857999,3,3.522091645092197,0,721.0119829872207,3.394773378547664
1762f194-d1b1-4be2-b7a8-dff47149765c,2023-07-27 20:29:00,Running,2.212389000859315,25:52:00,12:01,4.763788551534245,317.7754309013263,112.17513881636762,156.72340699577282,2023-07-27-202935.gpx,721.0141559927226,3,3.5604861146429294,0,721.0158707900453,3.423005466604812
